"id","lig","csa","hsa_t","psa_r","hiaa","haa","dsasa","fsasa","score","prediction"
"1k8q","",848.003,688.917,0.1876,1.0475,0.55,138.599,0.846728,205.121,"druggable"
"1kc7","",127.131,43.5744,0.657248,-1.23333,0.166667,129.22,0.468314,21.8902,"druggable"
"1ke6","",778.301,477.88,0.385996,-0.415789,0.315789,360.693,0.655388,163.275,"druggable"
"1kts","",900.849,549.459,0.390065,-0.49682,0.360424,628.071,0.543302,188.199,"druggable"
"1kvo","",1044.35,691.74,0.337638,0.104348,0.304348,459.76,0.672781,226.88,"druggable"
"1kzn","",574.715,373.755,0.349669,0.315152,0.424242,307.48,0.635306,124.412,"druggable"
"1lox","",594.943,466.257,0.2163,1.11563,0.5625,169.886,0.765309,141.671,"druggable"
"1lpz","",682.592,338.15,0.504608,-0.8,0.193548,439.296,0.600527,130.255,"druggable"
"1m0n","",712.867,442.988,0.378582,0.132019,0.466357,360.544,0.642233,150.649,"druggable"
"1m17","",814.662,532.352,0.346536,-0.151282,0.429487,411.046,0.636168,176.081,"druggable"
"1m2z","",558.381,385.121,0.310291,1.4129,0.612903,22.2712,0.964137,124.725,"druggable"
"1mai","",302.299,154.488,0.488957,-1.55625,0.1875,328.695,0.461089,58.8721,"druggable"
"1moq","",509.519,272.8,0.464594,-0.0136612,0.439891,263.539,0.658129,100.996,"druggable"
"1n2v","",760.467,407.077,0.464702,0.172727,0.318182,307.114,0.697028,150.099,"druggable"
"1nlj","",450.607,208.974,0.536238,-0.5,0.325581,418.666,0.560969,84.1571,"druggable"
"1nnc","",559.601,237.819,0.57502,-1.90333,0.1,223.438,0.705392,100.395,"druggable"
"1o5r","",955.76,602.987,0.369102,-0.421429,0.391429,300.237,0.742451,202.831,"druggable"
"1o8b","",403.218,201.017,0.501469,-0.738462,0.230769,304.319,0.55184,77.6047,"druggable"
"1od8","",409.956,219.362,0.464913,-2.2,0.037037,391.001,0.503172,80.9242,"druggable"
"1olq","",97.8161,32.1807,0.671008,-0.245455,0.181818,129.852,0.405909,17.0605,"druggable"
"1onz","",516.223,270.718,0.475579,-0.744,0.24,289.404,0.632505,101.193,"druggable"
"1oq5","",599.371,414.741,0.30804,0.254545,0.424242,244.004,0.696025,133.677,"druggable"
"1owe","",814.681,341.277,0.581091,-0.3825,0.125,477.049,0.614481,145.346,"druggable"
"1pmn","",836.183,505.281,0.395729,0.379545,0.431818,336.187,0.692895,174.224,"druggable"
"1pwm","",960.509,607.907,0.367099,-0.229653,0.419558,1120.65,0.44734,204.189,"druggable"
"1px4","",856.094,476.534,0.443363,-1.22128,0.170213,439.656,0.635017,171.396,"druggable"
"1q41","",844.378,435.577,0.484145,-0.139595,0.439306,348.856,0.699717,163.843,"druggable"
"1qhi","",538.587,369.548,0.313857,-0.735714,0.392857,24.4791,0.956575,119.534,"druggable"
"1qmf","",846.104,462.224,0.453702,-0.6,0.326087,381.449,0.658342,168.176,"druggable"
"1qpe","",721.777,462.925,0.358631,0.282051,0.358974,283.362,0.699973,154.833,"druggable"
"1qs4","",234.439,100.599,0.570894,-1.64667,0.0666667,215.682,0.509412,42.7225,"druggable"
"1qxo","",1004.81,502.346,0.50006,-1.41395,0.139535,412.513,0.686079,191.824,"druggable"
"1r55","",551.24,306.042,0.444811,0.193548,0.419355,499.058,0.523632,110.949,"druggable"
"1r58","",788.881,482.681,0.388145,-0.528,0.28,329.952,0.68861,165.174,"druggable"
"1r9o","",878.589,690.793,0.213748,0.52439,0.487805,124.6,0.868362,208.652,"druggable"
"1rnt","",418.971,192.412,0.540751,-2.18333,0.111111,397.733,0.506326,77.6087,"druggable"
"1rsz","",820.772,530.211,0.354009,-0.0996454,0.432624,357.728,0.667951,176.421,"druggable"
"1rv1","",1133.07,832.839,0.264974,0.489286,0.464286,501.278,0.677621,259.349,"druggable"
"1rwq","",585.575,319.126,0.455022,-1.24516,0.129032,320.106,0.627085,116.437,"druggable"
"1sqi","",973.51,639.968,0.342618,0.2,0.431818,378.434,0.69281,210.851,"druggable"
"1sqn","",516.601,340.473,0.340935,0.106048,0.455645,10.3886,0.981051,112.657,"druggable"
"1t03","",512.723,302.15,0.410694,-0.499167,0.351667,417.051,0.504996,105.929,"druggable"
"1t46","",1037.36,653.81,0.369736,-0.0552189,0.430976,569.177,0.640322,220.028,"druggable"
"1u30","",708.873,425.106,0.400307,-0.733333,0.277778,366.898,0.638672,147.113,"druggable"
"1u4d","",903.824,524.089,0.420142,-0.437778,0.333333,344.361,0.706172,184.468,"druggable"
"1ucn","",771.705,447.528,0.420079,-1.61875,0.125,617.16,0.527019,157.379,"druggable"
"1udt","",1065.61,705.5,0.337937,0.21875,0.395833,208.97,0.823578,231.465,"druggable"
"1unl","",543.461,289.045,0.468142,-0.190867,0.41452,315.574,0.680213,107.283,"druggable"
"1uou","",520.412,239.851,0.539113,-0.294118,0.205882,39.2475,0.928577,96.7943,"druggable"
"1v16","",562.779,312.452,0.444805,-0.806667,0.233333,283.812,0.644726,112.983,"druggable"
"1v4s","",872.142,536.33,0.385042,-0.270536,0.372768,405.402,0.650081,182.994,"druggable"
"1vbm","",1041.61,557.567,0.464705,-0.289623,0.399371,285.658,0.75184,205.019,"druggable"
"1wnz","",505.114,288.959,0.427932,-0.295833,0.208333,277.607,0.641983,102.991,"druggable"
"1wvc","",839.105,457.177,0.455161,-0.187891,0.410156,441.232,0.625101,166.708,"druggable"
"1x9d","",525.924,254.376,0.516326,-1.24333,0.3,217.405,0.697646,99.5409,"druggable"
"1xm6","",871.234,519.722,0.403465,-0.435417,0.291667,92.4733,0.898217,180.179,"druggable"
"1xoz","",940.244,673.034,0.284192,-0.197866,0.426829,319.874,0.738713,212.406,"druggable"
"1yqy","",1047.88,605.504,0.42216,-1.05185,0.203704,492.219,0.657123,213.176,"druggable"
"1yvf","",945.102,567.222,0.39983,-0.157979,0.404255,286.048,0.748834,195.991,"druggable"
"1ywn","",1005.99,686.787,0.317303,0.771739,0.413043,546.083,0.622686,222.042,"druggable"
"1ywr","",773.396,509.933,0.340657,0.72973,0.486486,286.883,0.717074,168.162,"druggable"
"2aa2","",496.365,316.87,0.361619,1.66538,0.653846,22.8396,0.958857,107.037,"druggable"
"2br1","",646.8,408.582,0.368303,-0.397794,0.411765,269.606,0.70772,137.75,"druggable"
"2bxr","",788.244,491.252,0.376777,0.744444,0.388889,86.7822,0.89283,166.781,"druggable"
"2cl5","",1153.16,771.772,0.33073,-0.16422,0.412844,282.935,0.784026,251.619,"druggable"
"2dq7","",916.13,571.244,0.376459,0.0714286,0.326531,383.427,0.688344,193.486,"druggable"
"2fb8","",950.714,602.99,0.365751,-0.125483,0.420849,294.516,0.723079,202.349,"druggable"
"2g24","",995.804,653.391,0.343856,0.295745,0.404255,383.085,0.696871,215.466,"druggable"
"2gh5","",707.266,410.469,0.41964,-0.344737,0.394737,317.812,0.675325,144.701,"druggable"
"2gsu","",896.275,520.822,0.418903,-1.46364,0.136364,392.385,0.670985,182.846,"druggable"
"2gyi","",218.777,135.904,0.378799,-1.22273,0.181818,81.254,0.74511,46.8054,"druggable"
"2hiw","",1262.59,815.952,0.353747,0.0563636,0.363636,539.007,0.681791,270.759,"druggable"
"2i0e","",640.919,400.732,0.374754,-0.11875,0.34375,176.378,0.773471,135.893,"druggable"
"2i1m","",922.583,525.323,0.430595,-0.538298,0.255319,448.018,0.655576,186.688,"druggable"
"2ivu","",945.159,590.383,0.375361,-0.246875,0.420139,365.256,0.694795,199.692,"druggable"
"3b68","",691.642,518.039,0.251001,0.0210526,0.473684,29.0372,0.960651,160.326,"druggable"
"3d4s","",793.626,529.425,0.332904,0.3,0.378378,144.515,0.834731,173.389,"druggable"
"3etr","",535.041,380.288,0.289236,0.0617647,0.382353,202.595,0.714615,121.04,"druggable"
"3f0r","",775.285,535.813,0.308883,-0.151351,0.324324,394.975,0.634188,172.288,"druggable"
"3f1q","",834.203,647.394,0.223937,0.939474,0.578947,272.311,0.744312,196.935,"druggable"
"3ia4","",633.149,355.888,0.437907,-0.145062,0.438272,320.803,0.683555,127.865,"druggable"
"3jdw","",407.36,229.441,0.436761,-0.982759,0.241379,47.1385,0.893367,82.5696,"druggable"
"3pcm","",738.66,451.72,0.388461,-1.45581,0.162791,355.02,0.662893,154.466,"druggable"
"4cox","",802.876,598.499,0.254557,1,0.552632,158.424,0.825724,185.667,"druggable"
